IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.     Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]   
367     2017-10-13 12:54:44    +1.36140000E-01    +1.24100000E-01    
368     2017-10-13 12:54:45    +1.91180000E-01    +1.71060000E-01    
369     2017-10-13 12:54:46    +1.92200000E-01    +1.67390000E-01    
370     2017-10-13 12:54:46    +1.53770000E-01    +1.26640000E-01    
371     2017-10-13 12:54:47    +1.41450000E-01    +1.09240000E-01    
372     2017-10-13 12:54:48    +1.32920000E-01    +1.12690000E-01    
373     2017-10-13 12:54:49    +1.95700000E-01    +1.64680000E-01    
374     2017-10-13 12:54:49    +1.63210000E-01    +1.30320000E-01    
375     2017-10-13 12:54:50    +2.05420000E-01    +1.62190000E-01    
376     2017-10-13 12:54:51    +1.37490000E-01    +1.16020000E-01    
377     2017-10-13 12:54:51    +1.35010000E-01    +1.19860000E-01    
378     2017-10-13 12:54:52    +1.77110000E-01    +1.41620000E-01    
379     2017-10-13 12:54:53    +1.43940000E-01    +1.11550000E-01    
380     2017-10-13 12:54:54    +1.53430000E-01    +1.24720000E-01    
381     2017-10-13 12:54:54    +1.58010000E-01    +1.40550000E-01    
382     2017-10-13 12:54:55    +1.77500000E-01    +1.55920000E-01    
