IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.     Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]   
133     2017-10-11 16:40:31    +3.35000000E+00    +3.34330000E+00    
134     2017-10-11 16:40:31    +3.33210000E+00    +3.32040000E+00    
135     2017-10-11 16:40:32    +3.34270000E+00    +3.33320000E+00    
136     2017-10-11 16:40:32    +3.34330000E+00    +3.31420000E+00    
137     2017-10-11 16:40:33    +3.35060000E+00    +3.33040000E+00    
138     2017-10-11 16:40:33    +3.32260000E+00    +3.29910000E+00    
139     2017-10-11 16:40:34    +3.38190000E+00    +3.32540000E+00    
140     2017-10-11 16:40:34    +3.31250000E+00    +3.28790000E+00    
141     2017-10-11 16:40:35    +3.36120000E+00    +3.30970000E+00    
142     2017-10-11 16:40:35    +3.30800000E+00    +3.32650000E+00    
143     2017-10-11 16:40:35    +3.30130000E+00    +3.27670000E+00    
144     2017-10-11 16:40:36    +3.31310000E+00    +3.27450000E+00    
145     2017-10-11 16:40:36    +3.32930000E+00    +3.30020000E+00    
146     2017-10-11 16:40:37    +3.26890000E+00    +3.25770000E+00    
147     2017-10-11 16:40:37    +3.27000000E+00    +3.25430000E+00    
148     2017-10-11 16:40:38    +3.26550000E+00    +3.24700000E+00    
149     2017-10-11 16:40:38    +3.31030000E+00    +3.28510000E+00    
150     2017-10-11 16:40:39    +3.24820000E+00    +3.23810000E+00    
151     2017-10-11 16:40:39    +3.28960000E+00    +3.27000000E+00    
152     2017-10-11 16:40:40    +3.23860000E+00    +3.23860000E+00    
153     2017-10-11 16:40:40    +3.24140000E+00    +3.23310000E+00    
154     2017-10-11 16:40:41    +3.28960000E+00    +3.26890000E+00    
155     2017-10-11 16:40:41    +3.29910000E+00    +3.26770000E+00    
156     2017-10-11 16:40:42    +3.30190000E+00    +3.26550000E+00    
157     2017-10-11 16:40:42    +3.23310000E+00    +3.21790000E+00    
158     2017-10-11 16:40:43    +3.34050000E+00    +3.33770000E+00    
159     2017-10-11 16:40:43    +4.03780000E+00    +3.72330000E+00    
160     2017-10-11 16:40:44    +3.81560000E+00    +3.66290000E+00    
161     2017-10-11 16:40:44    +3.93760000E+00    +3.98300000E+00    
162     2017-10-11 16:40:45    +3.57160000E+00    +3.94550000E+00    
163     2017-10-11 16:40:45    +3.61420000E+00    +3.57110000E+00    
164     2017-10-11 16:40:46    +3.48210000E+00    +3.44680000E+00    
165     2017-10-11 16:40:46    +3.72890000E+00    +3.57000000E+00    
166     2017-10-11 16:40:47    +3.77810000E+00    +3.77810000E+00    
167     2017-10-11 16:40:47    +3.58450000E+00    +3.66730000E+00    
168     2017-10-11 16:40:48    +3.92090000E+00    +3.74460000E+00    
169     2017-10-11 16:40:48    +3.62310000E+00    +3.65220000E+00    
170     2017-10-11 16:40:49    +3.88620000E+00    +3.69480000E+00    
171     2017-10-11 16:40:49    +3.61190000E+00    +3.76190000E+00    
172     2017-10-11 16:40:49    +3.96340000E+00    +3.86380000E+00    
173     2017-10-11 16:40:50    +3.66730000E+00    +3.75070000E+00    
174     2017-10-11 16:40:50    +3.67010000E+00    +3.82460000E+00    
175     2017-10-11 16:40:51    +3.72780000E+00    +3.76640000E+00    
176     2017-10-11 16:40:51    +3.78370000E+00    +3.74900000E+00    
177     2017-10-11 16:40:52    +3.90410000E+00    +3.99700000E+00    
178     2017-10-11 16:40:52    +3.76580000E+00    +3.87550000E+00    
179     2017-10-11 16:40:52    +4.11220000E+00    +4.00030000E+00    
180     2017-10-11 16:40:53    +3.92200000E+00    +3.78990000E+00    
181     2017-10-11 16:40:53    +3.91300000E+00    +3.76640000E+00    
182     2017-10-11 16:40:54    +3.83970000E+00    +3.76750000E+00    
183     2017-10-11 16:40:54    +3.79880000E+00    +3.94660000E+00    
184     2017-10-11 16:40:55    +3.89510000E+00    +4.08030000E+00    
185     2017-10-11 16:40:55    +3.85260000E+00    +3.68690000E+00    
186     2017-10-11 16:40:55    +3.72220000E+00    +4.55550000E+00    
187     2017-10-11 16:40:56    +3.79100000E+00    +3.78990000E+00    
188     2017-10-11 16:40:56    +4.01710000E+00    +4.34450000E+00    
189     2017-10-11 16:40:57    +4.13690000E+00    +4.22920000E+00    
190     2017-10-11 16:40:57    +4.22250000E+00    +4.24150000E+00    
191     2017-10-11 16:40:58    +4.25100000E+00    +4.26560000E+00    
192     2017-10-11 16:40:58    +4.23760000E+00    +4.24940000E+00    
193     2017-10-11 16:40:58    +4.36070000E+00    +4.30080000E+00    
194     2017-10-11 16:40:59    +4.27290000E+00    +4.22980000E+00    
195     2017-10-11 16:40:59    +4.36800000E+00    +4.33500000E+00    
196     2017-10-11 16:41:00    +4.36130000E+00    +4.34620000E+00    
197     2017-10-11 16:41:00    +4.38090000E+00    +4.31600000E+00    
198     2017-10-11 16:41:01    +4.39540000E+00    +4.36300000E+00    
199     2017-10-11 16:41:01    +4.40100000E+00    +4.34510000E+00    
200     2017-10-11 16:41:02    +4.42560000E+00    +4.36020000E+00    
201     2017-10-11 16:41:02    +4.31200000E+00    +4.29970000E+00    
202     2017-10-11 16:41:03    +4.31040000E+00    +4.29690000E+00    
203     2017-10-11 16:41:03    +4.32660000E+00    +4.29860000E+00    
