IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.      Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]
148      2017-10-12 13:34:43    +1.09255000E+00    -    
149      2017-10-12 13:34:43    +1.08837000E+00    -    
150      2017-10-12 13:34:43    +9.38840000E-01    -    
151      2017-10-12 13:34:43    +9.58610000E-01    -    
152      2017-10-12 13:34:44    +1.05322000E+00    -    
153      2017-10-12 13:34:44    +9.69350000E-01    -    
154      2017-10-12 13:34:44    +1.06186000E+00    -    
155      2017-10-12 13:34:44    +1.06446000E+00    -    
156      2017-10-12 13:34:45    +9.02330000E-01    -    
157      2017-10-12 13:34:45    +9.10920000E-01    -    
158      2017-10-12 13:34:45    +9.66300000E-01    -    
159      2017-10-12 13:34:45    +9.05150000E-01    -    
160      2017-10-12 13:34:45    +1.01422000E+00    -    
161      2017-10-12 13:34:46    +1.03999000E+00    -    
162      2017-10-12 13:34:46    +8.83620000E-01    -    
163      2017-10-12 13:34:46    +8.88090000E-01    -    
164      2017-10-12 13:34:46    +8.66050000E-01    -    
165      2017-10-12 13:34:46    +8.68200000E-01    -    
166      2017-10-12 13:34:47    +1.02016000E+00    -    
167      2017-10-12 13:34:47    +9.97490000E-01    -    
168      2017-10-12 13:34:47    +9.22110000E-01    -    
169      2017-10-12 13:34:47    +8.47060000E-01    -    
170      2017-10-12 13:34:47    +9.68620000E-01    -    
171      2017-10-12 13:34:48    +9.04190000E-01    -    
172      2017-10-12 13:34:48    +8.62200000E-01    -    
173      2017-10-12 13:34:48    +8.87300000E-01    -    
174      2017-10-12 13:34:48    +9.51950000E-01    -    
175      2017-10-12 13:34:48    +8.65990000E-01    -    
176      2017-10-12 13:34:49    +9.53300000E-01    -    
177      2017-10-12 13:34:49    +8.09140000E-01    -    
178      2017-10-12 13:34:49    +9.34600000E-01    -    
179      2017-10-12 13:34:49    +9.45560000E-01    -    
180      2017-10-12 13:34:49    +8.34570000E-01    -    
181      2017-10-12 13:34:50    +7.98180000E-01    -    
182      2017-10-12 13:34:50    +7.94960000E-01    -    
183      2017-10-12 13:34:50    +7.97050000E-01    -    
184      2017-10-12 13:34:50    +8.17840000E-01    -    
185      2017-10-12 13:34:51    +8.17110000E-01    -    
186      2017-10-12 13:34:51    +8.77800000E-01    -    
187      2017-10-12 13:34:51    +9.22960000E-01    -    
188      2017-10-12 13:34:51    +7.79190000E-01    -    
189      2017-10-12 13:34:51    +9.10300000E-01    -    
190      2017-10-12 13:34:52    +8.65990000E-01    -    
191      2017-10-12 13:34:52    +7.42630000E-01    -    
192      2017-10-12 13:34:52    +8.75490000E-01    -    
193      2017-10-12 13:34:52    +8.23610000E-01    -    
194      2017-10-12 13:34:53    +8.19370000E-01    -    
195      2017-10-12 13:34:53    +7.90210000E-01    -    
196      2017-10-12 13:34:53    +8.77750000E-01    -    
197      2017-10-12 13:34:53    +7.31320000E-01    -    
198      2017-10-12 13:34:54    +7.62070000E-01    -    
199      2017-10-12 13:34:54    +8.50960000E-01    -    
200      2017-10-12 13:34:54    +7.38730000E-01    -    
201      2017-10-12 13:34:54    +6.99340000E-01    -    
202      2017-10-12 13:34:55    +6.98260000E-01    -    
203      2017-10-12 13:34:55    +7.11370000E-01    -    
204      2017-10-12 13:34:55    +7.12220000E-01    -    
205      2017-10-12 13:34:55    +7.92300000E-01    -    
206      2017-10-12 13:34:55    +7.42230000E-01    -    
207      2017-10-12 13:34:56    +6.79110000E-01    -    
208      2017-10-12 13:34:56    +6.79560000E-01    -    
209      2017-10-12 13:34:56    +7.49410000E-01    -    
210      2017-10-12 13:34:56    +8.19370000E-01    -    
211      2017-10-12 13:34:57    +6.92270000E-01    -    
212      2017-10-12 13:34:57    +7.54720000E-01    -    
213      2017-10-12 13:34:57    +7.82300000E-01    -    
214      2017-10-12 13:34:57    +6.62040000E-01    -    
215      2017-10-12 13:34:58    +7.82070000E-01    -    
216      2017-10-12 13:34:58    +7.01200000E-01    -    
217      2017-10-12 13:34:58    +6.82100000E-01    -    
218      2017-10-12 13:34:58    +7.87780000E-01    -    
219      2017-10-12 13:34:59    +6.71190000E-01    -    
220      2017-10-12 13:34:59    +6.25700000E-01    -    
221      2017-10-12 13:34:59    +6.99960000E-01    -    
222      2017-10-12 13:34:59    +7.56300000E-01    -    
223      2017-10-12 13:35:00    +7.85800000E-01    -    
224      2017-10-12 13:35:00    +7.54040000E-01    -    
225      2017-10-12 13:35:00    +7.04880000E-01    -    
226      2017-10-12 13:35:00    +6.90580000E-01    -    
227      2017-10-12 13:35:01    +7.36970000E-01    -    
228      2017-10-12 13:35:01    +7.47200000E-01    -    
229      2017-10-12 13:35:01    +7.37430000E-01    -    
230      2017-10-12 13:35:02    +5.91170000E-01    -    
231      2017-10-12 13:35:02    +6.55310000E-01    -    
232      2017-10-12 13:35:02    +7.36640000E-01    -    
233      2017-10-12 13:35:02    +5.82530000E-01    -    
234      2017-10-12 13:35:03    +6.56160000E-01    -    
235      2017-10-12 13:35:03    +6.99110000E-01    -    
236      2017-10-12 13:35:03    +6.13100000E-01    -    
237      2017-10-12 13:35:03    +5.79080000E-01    -    
238      2017-10-12 13:35:04    +7.18040000E-01    -    
239      2017-10-12 13:35:04    +5.78630000E-01    -    
240      2017-10-12 13:35:04    +5.81680000E-01    -    
